Code	Preferred Term	Synonyms	Definition	Drug Class
C1326	Doxorubicin_Hydrochloride	Doxorubicin Hydrochloride|14-Hydroxydaunorubicin Hydrochloride|3-Hydroxyacetyldaunorubicin Hydrochloride|5,12-Naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8, 9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-, hydrochloride, (8S-cis)- (9CI)|5,12-Naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-,hydrochloride, (8S-cis)-(9CI)|ADM|ADRIAMYCIN, HYDROCHLORIDE|Adriacin|Adriamycin|Adriamycin Hydrochloride|Adriamycin PFS|Adriamycin RDF|Adriamycin hydrochloride|Adriamycine|Adriblastina|Adriblastine|Adrimedac|Chloridrato de Doxorrubicina|DOX|DOXO-CELL|DOXORUBICIN HYDROCHLORIDE|Doxolem|Doxorubicin hydrochloride|Doxorubicin.HCl|Doxorubin|FI 106|FI-106|Farmiblastina|L-Lyxo-hexopyranoside, 3b-glycol-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1a-naphthacenyl 3-amino-2,3,6-trideoxy-alpha-, hydrochloride|Rubex|doxorubicin hydrochloride|hydroxydaunorubicin	The hydrochloride salt of doxorubicin, an anthracycline antibiotic with antineoplastic activity. Doxorubicin, isolated from the bacterium Streptomyces peucetius var. caesius, is the hydroxylated congener of daunorubicin. Doxorubicin intercalates between base pairs in the DNA helix, thereby preventing DNA replication and ultimately inhibiting protein synthesis. Additionally, doxorubicin inhibits topoisomerase II which results in an increased and stabilized cleavable enzyme-DNA linked complex during DNA replication and subsequently prevents the ligation of the nucleotide strand after double-strand breakage. Doxorubicin also forms oxygen free radicals resulting in cytotoxicity secondary to lipid peroxidation of cell membrane lipids; the formation of oxygen free radicals also contributes to the toxicity of the anthracycline antibiotics, namely the cardiac and cutaneous vascular effects.	Drugs Approved to Treat Breast Cancer
C26644	E7389	Eribulin Mesylate|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|B1939 Mesylate|E7389|ER-086526|ERIBULIN MESYLATE|Halaven|Halichondrin B Analog|eribulin mesylate	The mesylate salt of a synthetic analogue of halichondrin B, a substance derived from a marine sponge (Lissodendoryx sp.) with antineoplastic activity. Eribulin binds to the vinca domain of tubulin and inhibits the polymerization of tubulin and the assembly of microtubules, resulting in inhibition of mitotic spindle assembly, induction of cell cycle arrest at G2/M phase, and, potentially, tumor regression.	Drugs Approved to Treat Breast Cancer
C474	Epirubicin	Epirubicin Hydrochloride|(8S-cis)-10-((3-Amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione Hydrochloride|3-Glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside Hydrochloride|EPIRUBICIN HYDROCHLORIDE|Ellence|IMI-28|Pharmorubicin PFS|epirubicin hydrochloride	The hydrochloride salt of the 4'-epi-isomer of the anthracycline antineoplastic antibiotic doxorubicin. Epirubicin intercalates into DNA and inhibits topoisomerase II, thereby inhibiting DNA replication and ultimately, interfering with RNA and protein synthesis. This agent also produces toxic free-radical intermediates and interacts with cell membrane lipids causing lipid peroxidation.	Drugs Approved to Treat Breast Cancer
C48387	Everolimus	Everolimus|(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-Dihydroxy-12-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone|42-O-(2-Hydroxy)ethyl Rapamycin|Afinitor|Certican|EVEROLIMUS|RAD 001|RAD001|Votubia|Zortress|everolimus	A derivative of the natural macrocyclic lactone sirolimus with immunosuppressant and anti-angiogenic properties. In cells, everolimus binds to the immunophilin FK Binding Protein-12 (FKBP-12) to generate an immunosuppressive complex that binds to and inhibits the activation of the mammalian Target of Rapamycin (mTOR), a key regulatory kinase. Inhibition of mTOR activation results in the inhibition of T lymphocyte activation and proliferation associated with antigen and cytokine (IL-2, IL-4, and IL-15) stimulation and the inhibition of antibody production. (NCI05)	Drugs Approved to Treat Breast Cancer
C1097	Exemestane	Exemestane|6-Methyleneandrosta-1,4-diene-3,17-dione|Aromasin|EXEMESTANE|FCE-24304|exemestane	A synthetic androgen analogue.  Exemestane binds irreversibly to and inhibits the enzyme aromatase, thereby blocking the conversion of cholesterol to pregnenolone and the peripheral aromatization of androgenic precursors into estrogens. (NCI04)	Drugs Approved to Treat Breast Cancer
C505	Fluorouracil	Fluorouracil|2,4-Dioxo-5-fluoropyrimidine|5-FU|5-Fluoro-2,4(1H, 3H)-pyrimidinedione|5-Fluoro-2,4(1H,3H)-pyrimidinedione|5-Fluorouracil|5-Fluracil|5-Fu|5-fluorouracil|AccuSite|Adrucil|Carac|FLUOROURACIL|Fluoro Uracil|Fluouracil|Flurablastin|Fluracedyl|Fluracil|Fluril|Fluroblastin|Ribofluor|Ro 2-9757|Ro-2-9757|fluorouracil	An antimetabolite fluoropyrimidine analog of the nucleoside pyrimidine with antineoplastic activity. Fluorouracil and its metabolites possess a number of different mechanisms of action. In vivo, fluoruracil is converted to the active metabolite 5-fluoroxyuridine monophosphate (F-UMP); replacing uracil, F-UMP incorporates into RNA and inhibits RNA processing, thereby inhibiting cell growth. Another active metabolite, 5-5-fluoro-2'-deoxyuridine-5'-O-monophosphate (F-dUMP), inhibits thymidylate synthase, resulting in the depletion of thymidine triphosphate (TTP), one of the four nucleotide triphosphates used in the in vivo synthesis of DNA. Other fluorouracil metabolites incorporate into both RNA and DNA; incorporation into RNA results in major effects on both RNA processing and functions.	Drugs Approved to Treat Breast Cancer
C1379	Fulvestrant	Fulvestrant|7a-[9-[(4,4,5,5,5,-Pentafluoropentyl)sulphinyl]nonyl]-estra-1,3,5(10)-triene-3,17b-diol|FULVESTRANT|Faslodex|Faslodex(ICI 182,780)|ICI 182,780|ICI 182780|ZD9238|fulvestrant	A synthetic estrogen receptor antagonist.  Unlike tamoxifen (which has partial agonist effects) and the aromatase inhibitors (which reduce the estrogen available to tumor cells), fulvestrant binds competitively to estrogen receptors in breast cancer cells, resulting in estrogen receptor deformation and decreased estrogen binding. In vitro studies indicate that fulvestrant reversibly inhibits the growth of tamoxifen-resistant, estrogen-sensitive, human breast cancer cell lines. (NCI04)	Drugs Approved to Treat Breast Cancer
C961	Gemcitabine	Gemcitabine Hydrochloride|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose, hydrochloride|2'Deoxy-2',2'-Difluorocytidine, Hydrochloride|Difluorodeoxycytidine Hydrochloride|GEMCITABINE HYDROCHLORIDE|Gemzar|LY-188011|LY188011|dFdCyd|gemcitabine hydrochloride	The hydrochloride salt of an analogue of the antimetabolite nucleoside deoxycytidine with antineoplastic activity. Gemcitabine is converted intracellularly to the active metabolites difluorodeoxycytidine di- and triphosphate (dFdCDP, dFdCTP). dFdCDP inhibits ribonucleotide reductase, thereby decreasing the deoxynucleotide pool available for DNA synthesis; dFdCTP is incorporated into DNA, resulting in DNA strand termination and apoptosis.	Drugs Approved to Treat Breast Cancer
C1417	Goserelin_Acetate	Goserelin Acetate|D-Ser(bu(t))(6)azgly(10)-LHRH Acetate|GOSERELIN ACETATE|ZDX|Zoladex	The acetate salt of a synthetic decapeptide analog of luteinizing hormone-releasing hormone (LHRH).  Continuous, prolonged administration of goserelin in males results in inhibition of pituitary gonadotropin secretion, leading to a significant decline in testosterone production; in females, prolonged administration results in a decrease in estradiol production. (NCI04)	Drugs Approved to Treat Breast Cancer
C37452	Ixabepilone	Ixabepilone|(1S,3S,7S,10R,11S,12S,16R)-7,11-Dihydroxy-8,8,10,12,16-pentamethyl-3-[(1E)-1-methyl-2-(2-methyl-4-thiazolyl)ethenyl]-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione|Azaepothilone B|BMS 247550|BMS-247550|BMS247550|Epothilone|Epothilone-B BMS 247550|IXABEPILONE|Ixempra|ixabepilone	An orally bioavailable semisynthetic analogue of epothilone B with antineoplastic activity. Ixabepilone binds to tubulin and promotes tubulin polymerization and microtubule stabilization, thereby arresting cells in the G2-M phase of the cell cycle and inducing tumor cell apoptosis. This agent demonstrates antineoplastic activity against taxane-resistant cell lines.	Drugs Approved to Treat Breast Cancer
C66878	Lapatinib_Ditosylate	Lapatinib Ditosylate|LAPATINIB DITOSYLATE|Tykerb|lapatinib ditosylate	The ditosylate salt of lapatinib, a synthetic, orally-active quinazoline with potential antineoplastic activity. Lapatinib reversibly blocks phosphorylation of the epidermal growth factor receptor (EGFR), ErbB2, and the Erk-1 and-2 and AKT kinases; it also inhibits cyclin D protein levels in human tumor cell lines and xenografts. EGFR and ErbB2 have been implicated in the growth of various tumor types.	Drugs Approved to Treat Breast Cancer
C1527	Letrozole	Letrozole|4,4'-(1H-1,2,4triazol-1-ylmethylene)dibenzonitrile|CGS 20267|Femara|LETROZOLE|letrozole	A nonsteroidal inhibitor of estrogen synthesis with antineoplastic activity. As a third-generation aromatase inhibitor, letrozole selectively and reversibly inhibits aromatase, which may result in growth inhibition of estrogen-dependent breast cancer cells. Aromatase, a cytochrome P-450 enzyme localized to the endoplasmic reticulum of the cell and found in many tissues including those of the premenopausal ovary, liver, and breast, catalyzes the aromatization of androstenedione and testosterone into estrone and estradiol, the final step in estrogen biosynthesis.	Drugs Approved to Treat Breast Cancer
C1156	Megestrol_Acetate	Megestrol Acetate|(9beta,10alpha)-17-(Acetyloxy)-6-methylpregna-4,6-diene-3,20-dione|17 Alpha-acetoxy-6-methylpregna-4,6-diene-3,20-dione|17-Hydroxy-6-methylpregna-4,6-diene-3,20-dione Acetate|17-Hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate|17.alpha.-Acetoxy-6-methylpregna-4,6-diene-3,20-dione|6-Dehydro-6-methyl-17 alpha-acetoxyprogesterone|6-Dehydro-6-methyl-17.alpha.-acetoxyprogesterone|6-Methyl-6-dehydro-17.alpha.-acetoxyprogesterone|6-Methyl-delta-4,6-pregnadien-17 alpha-ol-3,20-dione Acetate|BDH 1298|BDH-1298|MEGESTROL ACETATE|Maygace|Megace|Megestat|Megestil|Niagestin|Ovaban|Pallace|SC-10363	The acetate salt form of megestrol, a synthetic derivative of the naturally occurring female sex hormone progesterone with potential anti-estrogenic and antineoplastic activity. Mimicking the action of progesterone, megestrol acetate binds to and activates nuclear progesterone receptors in the reproductive system, and causes the ligand-receptor complex to be translocated to the nucleus where it binds to and promotes expression of target genes. This leads to an alteration in protein synthesis, which modulates cell growth of reproductive tissues. Due to the negative feedback mechanism seen with progesterone, megestrol also blocks luteinizing hormone (LH) release from the pituitary gland, thereby leading to an inhibition of ovulation and an alteration in the cervical mucus and endometrium. Furthermore, without stimulation of LH, estrogen release from the ovaries is stopped, hence impedes the growth of estrogen-sensitive tumor cells.	Drugs Approved to Treat Breast Cancer
C642	Methotrexate	Methotrexate|4-Amino-10-methylfolic Acid|4-Amino-4-deoxy-10-methylpteroyl-L-glutamic Acid|Abitrexate|Alpha-Methopterin|Amethopterin|Brimexate|CL 14377|CL-14377|Emtexate|Emthexat|Emthexate|Farmitrexat|Fauldexato|Folex|Folex PFS|Lantarel|Ledertrexate|Lumexon|METHOTREXATE|MTX|Maxtrex|Medsatrexate|Metex|Methoblastin|Methotrexate LPF|Methotrexate Methylaminopterin|Methotrexatum|Metotrexato|Metrotex|Mexate|Mexate-AQ|N-[4-[[(2,4-Diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic Acid|Novatrex|Rheumatrex|Texate|Tremetex|Trexeron|Trixilem|WR-19039|amethopterin|methotrexate	An antimetabolite and antifolate agent with antineoplastic and immunosuppressant activities. Methotrexate binds to and inhibits the enzyme dihydrofolate reductase, resulting in inhibition of purine nucleotide and thymidylate synthesis and, subsequently, inhibition of DNA and RNA syntheses. Methotrexate also exhibits potent immunosuppressant activity although the mechanism(s) of actions is unclear.	Drugs Approved to Treat Breast Cancer
C49176	PD-0332991	Palbociclib|6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino)-8h-pyrido(2,3-d)pyrimidin-7-one|Ibrance|PALBOCICLIB|PD-0332991|PD-332991	An orally available cyclin-dependent kinase (CDK) inhibitor with potential antineoplastic activity. Palbociclib selectively inhibits cyclin-dependent kinase 4 (CDK4) and 6 (CDK6), thereby inhibiting retinoblastoma (Rb) protein phosphorylation early in the G1 phase leading to cell cycle arrest. This suppresses DNA replication and decreases tumor cell proliferation. CDK4 and 6 are serine/threonine kinases that are upregulated in many tumor cell types and play a key role in the regulation of cell cycle progression.	Drugs Approved to Treat Breast Cancer
C1411	Paclitaxel	Paclitaxel|5Beta,20-epoxy-1,2alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one, 4,10-Diacetate 2-Benzoate 13-Ester with (2R,3S)-N-Benzoyl-3-phenylisoserine|Anzatax|Asotax|Bristaxol|PACLITAXEL|Praxel|Taxol|Taxol Konzentrat|[2aR-[2a Alpha,4beta,4a beta,6beta,9alpha(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-(benzoylamino)-alpha-hydroxybenzene-propanoic acid 6,12b-bis(acetyloxy)-12-(benzoyloxy)-1a,33,4,-41,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-41,8,-12,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester|paclitaxel	A compound extracted from the Pacific yew tree Taxus brevifolia with antineoplastic activity.  Paclitaxel binds to tubulin and inhibits the disassembly of microtubules, thereby resulting in the inhibition of cell division.  This agent also induces apoptosis by binding to and blocking the function of the apoptosis inhibitor protein Bcl-2 (B-cell Leukemia 2). (NCI04)	Drugs Approved to Treat Breast Cancer
C1345	Pamidronate_Disodium	Pamidronate Disodium|Aminomux|Aredia|GCP-23339A|PAMIDRONATE DISODIUM	The disodium salt of the synthetic bisphosphonate pamidronate. Although its mechanism of action is not completely understood, pamidronate appears to adsorb to calcium phosphate crystals in bone, blocking their dissolution by inhibiting osteoclast-mediated bone resorption. This agent does not inhibit bone mineralization and formation.	Drugs Approved to Treat Breast Cancer
C38692	Pertuzumab	Pertuzumab|2C4|2C4 Antibody|Immunoglobulin G1, Anti-(Human V (Receptor)) (Human-Mouse Monoclonal 2C4 Heavy Chain), Disulfide with Human-Mouse Monoclonal 2C4 Kappa-Chain, Dimer|MoAb 2C4|Monoclonal Antibody 2C4|PERTUZUMAB|Perjeta|RO4368451|pertuzumab|rhuMAb2C4	A humanized recombinant monoclonal antibody directed against the extracellular dimerization domain of the HER-2 tyrosine kinase receptor. Binding of the antibody to the dimerization domain of the HER-2 tyrosine kinase receptor protein directly inhibits the ability of the HER-2 tyrosine kinase receptor protein (the most common pairing partner) to dimerize with other HER tyrosine kinase receptor proteins; inhibiting receptor protein dimerization prevents the activation of HER signaling pathways, resulting in tumor cell apoptosis. (NCI04)	Drugs Approved to Treat Breast Cancer
C1762	Raloxifene_Hydrochloride	Raloxifene Hydrochloride|(6-Hydroxy-2-(4-hydroxyphenyl)benzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone Hydrochloride|Evista|Keoxifene Hydrochloride|LY-156758|Optruma|RALOXIFENE HYDROCHLORIDE|Raloxifene HCl|Raloxifene hydrochloride|Raloxifene.HCl|raloxifene hydrochloride	The hydrochloride salt form of raloxifene, a selective benzothiophene estrogen receptor modulator (SERM) with lipid lowering effects and activity against osteoporosis. Raloxifene hydrochloride specifically binds to estrogen receptors in responsive tissue, including liver, bone, breast, and endometrium. The resulting ligand-receptor complex is translocated to the nucleus where, depending on the tissue type, it promotes or suppresses the transcription of estrogen-regulated genes, thereby exerting its agonistic or antagonistic effects. This agent functions as an estrogen agonist in lipid metabolism, thereby decreasing total and LDL cholesterol levels. In tissue like bone, it decreases bone resorption and bone turnover and increases bone mineral density. Raloxifene hydrochloride acts as an estrogen antagonist in uterine and breast tissue. This agent also exerts an anti-proliferative effect on estrogen-sensitive breast cancer.	Drugs Approved to Prevent Breast Cancer
C63435	TAC_Regimen	TAC Regimen|TAC|TAC regimen|Taxotere-Adriamycin-Cytoxan Regimen	A regimen consisting of docetaxel, doxorubicin and cyclophosphamide used in the adjuvant setting for the treatment of breast cancer.	Drug Combinations Used in Breast Cancer
C855	Tamoxifen	Tamoxifen Citrate|(Z)-2-[4-(1,2-Diphenyl-1-butenyl)phenoxy]-N,N-dimethylethanamine 2-Hydroxy-1,2,3-propanetricarboxylate|(Z)-2-[4-(1,2-diphenyl-1-butenyl)phenoxy]-N,N-dimethylethanamine citrate|1-p-beta-dimethylamino-ethoxyphenyl-trans-1,2-diphenylbut-1-ene Citrate|Apo-Tamox|Clonoxifen|Dignotamoxi|Ebefen|Emblon|Estroxyn|Fentamox|Gen-Tamoxifen|Genox|ICI 46,474|ICI-46474|Jenoxifen|Kessar|Ledertam|Lesporene|Nolgen|Noltam|Nolvadex|Nolvadex-D|Nourytam|Novo-Tamoxifen|Novofen|Noxitem|Oestrifen|Oncotam|PMS-Tamoxifen|Soltamox|TAM|TAMOXIFEN CITRATE|Tamax|Tamaxin|Tamifen|Tamizam|Tamofen|Tamoxasta|Tamoxifen citrate|Tamoxifeni Citras|Zemide|tamoxifen citrate	The citrate salt of an antineoplastic nonsteroidal selective estrogen receptor modulator (SERM). Tamoxifen competitively inhibits the binding of estradiol to estrogen receptors, thereby preventing the receptor from binding to the estrogen-response element on DNA. The result is a reduction in DNA synthesis and cellular response to estrogen. In addition, tamoxifen up-regulates the production of transforming growth factor B (TGFb), a factor that inhibits tumor cell growth, and down-regulates insulin-like growth factor 1 (IGF-1), a factor that stimulates breast cancer cell growth. Tamoxifen also down-regulates protein kinase C (PKC) expression in a dose-dependant manner, inhibiting signal transduction and producing an antiproliferative effect in tumors such as malignant glioma and other cancers that overexpress PKC.	Drugs Approved to Prevent Breast Cancer
C875	Thiotepa	Thiotepa|1,1',1"-phosphinothioylidynetrisaziridine|1,1',1''-Phosphinothioyldynetrisaziridine|1,1',1''-Phosphinothioylidynetrisaziridine|Girostan|N,N', N''-Triethylenethiophosphoramide|N,N',N''-triethylenethiophosphoramide|Oncotiotepa|STEPA|TESPA|THIOTEPA|TIO TEF|TSPA|Tepadina|Tespamin|Tespamine|Thio-Tepa|Thiofosfamide|Thiofozil|Thiophosphamide|Thiophosphoramide|Thioplex|Thiotef|Tifosyl|Tio-tef|Triethylene Thiophosphoramide|Triethylene thiophosphoramide|Triethylenethiophosphoramide|Tris(1-aziridinyl)phosphine sulfide|WR 45312|thiotepa|triethylenethiophosphoramide|tris(1-aziridinyl)phosphine sulfide	A polyfunctional, organophosphorus alkylating agent and a stable derivative of N,N',N''-triethylenephosphoramide (TEPA), with antineoplastic activity. Upon administration, thiotepa is converted into highly reactive ethylenimine groups, which covalently bind to nucleophilic groups in DNA and demonstrate a preference for the N7 position of guanine bases. This induces crosslinking of alkylated guanine bases in double-stranded DNA, interferes with both DNA replication and cell division, and results in both the induction of apoptosis and the inhibition of cell growth.	Drugs Approved to Treat Breast Cancer
